"ID" "Osiagniecia.naukowe.i.tworcze" "Potencjal.naukowy" "Materialne.efekty.dzialalnosci.naukowej" "Pozostale.efekty.dzialalnosci.naukowej" "Ocena.ostateczna" "Kategoria" "nazwy"
"Politechnika Opolska; Wydzial Inzynierii Produkcji i Logistyki" 576 32.55 63 0.51 26 -41.39 "B" "Politechnika Opolska; Wydzial Inzynierii Produkcji i Logistyki"
"Spoleczna Akademia Nauk z siedziba w Lodzi; Instytut Technologii  Informatycznych" 350 23.22 42 7.45 35 -48.86 "B" "Spoleczna Akademia Nauk z siedziba w Lodzi; Instytut Technologii  Informatycznych"
"Politechnika Rzeszowska im. Ignacego Lukasiewicza; Wydzial Elektrotechniki i  Informatyki" 779 29.9 174 1.43 4.5 -49.43 "B" "Politechnika Rzeszowska im. Ignacego Lukasiewicza; Wydzial Elektrotechniki i  Informatyki"
"Wyzsza Szkola Informatyki Stosowanej i Zarzadzania w Warszawie; Wydzial  Informatyki" 298 25.76 18 7.62 13 -51.53 "C" "Wyzsza Szkola Informatyki Stosowanej i Zarzadzania w Warszawie; Wydzial  Informatyki"
"Warszawska Wyzsza Szkola Informatyki w Warszawie" 811 21.6 2 9.92 22 -52.01 "C" "Warszawska Wyzsza Szkola Informatyki w Warszawie"
"Wyzsza Szkola Informatyki i Zarzadzania w Rzeszowie; Wydzial Informatyki  Stosowanej" 649 26.49 54 3.79 20 -54.95 "C" "Wyzsza Szkola Informatyki i Zarzadzania w Rzeszowie; Wydzial Informatyki  Stosowanej"
"Wroclawska Wyzsza Szkola Informatyki Stosowanej we Wroclawiu; Wydzial  Informatyki" 68 18.35 11 5.49 31.5 -59.28 "C" "Wroclawska Wyzsza Szkola Informatyki Stosowanej we Wroclawiu; Wydzial  Informatyki"
"Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Inzynierii Elektrycznej i  Komputerowej" 740 21.74 121 1.23 22 -65.57 "C" "Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Inzynierii Elektrycznej i  Komputerowej"
"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pulaskiego w  Radomiu; Wydzial Informatyki i Matematyki" 829 24.25 16 0 17 -69.41 "C" "Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pulaskiego w  Radomiu; Wydzial Informatyki i Matematyki"
"Wyzsza Szkola Ekologii i Zarzadzania w Warszawie; Wydzial Zarzadzania" 468 20.99 1 0 0 -76.31 "C" "Wyzsza Szkola Ekologii i Zarzadzania w Warszawie; Wydzial Zarzadzania"
