"data.wydania";"data.ogloszenia";"data.wykonania";"organ.wlasciwy";"ocena.konstytucyjnosci";"status.orzeczenia";"tytul.orzeczenia";"akty.prawne";"dane.orzeczenia";"dokumenty.w.sprawie"
2010-03-10;2010-03-24;2013-04-01;"Prezes Rady Ministrów";"niezgodny";"Wykonane";"Przekroczenie uprawnień Centralnego Biura Antykorupcyjnego w zakresie stosowania środków przymusu bezpośredniego";"Dz.U. 2006 r. Nr 214 poz. 1575Rozporządzenie Rady Ministrów z dnia 17 listopada 2006 r. w sprawie środków przymusu bezpośredniego stosowanych przez funkcjonariuszy Centralnego Biura Antykorupcyjnego";"U 5/07
Data wydania:2010-03-10
Dz.U. 2010 r. Nr 45 poz. 274
Data ogłoszenia:2010-03-24";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-29-10
AKTY WYKONUJĄCE
Dz.U. 2013 r. poz. 628"
2010-02-24;2010-03-10;NA;"Minister Obrony Narodowej";"niezgodny";"Niewykonane";"Zasady naliczania wysokości emerytur";"Dz.U. 2004 r. Nr 8 poz. 66Ustawa z dnia 10 grudnia 1993 r. o zaopatrzeniu emerytalnym żołnierzy zawodowych oraz ich rodzin";"K 6/09
Data wydania:2010-02-24
Dz.U. 2010 r. Nr 36 poz. 204
Data ogłoszenia:2010-03-10";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-21-10 analiza K 6_09"
2010-02-23;2010-03-08;2013-09-01;"Minister Spraw Wewnętrznych";"niezgodny";"Wykonane";"Ustawa o Policji.";"Dz.U. 2011 r. Nr 287 poz. 1687Ustawa z dnia 6 kwietnia 1990 r. o Policji";"K 1/08
Data wydania:2010-02-23
Dz.U. 2010 r. Nr 34 poz. 190
Data ogłoszenia:2010-03-08";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-15-2-10
AKTY WYKONUJĄCE
Dz.U. 2013 r. poz. 1351"
2010-02-23;2010-03-08;2011-02-01;"Minister Finansów
Minister Pracy i Polityki Społecznej
Minister Sprawiedliwości";"niezgodny";"Wykonane";"Zasady ustalania wynagrodzenia skazanego zatrudnionego w pełnym wymiarze czasu pracy";"Dz.U. 1997 r. Nr 90 poz. 557Ustawa z dnia 6 czerwca 1997 r. – Kodeks karny wykonawczy";"P 20/09
Data wydania:2010-02-23
Dz.U. 2010 r. Nr 34 poz. 191
Data ogłoszenia:2010-03-08";"[Pokaż szczegóły]

AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 39 poz. 202"
2010-02-16;2010-03-03;2010-06-01;"Minister Pracy i Polityki Społecznej";"niezgodny";"Wykonane";"Zasady ustalania podstawy wymiaru składek na ubezpieczenie emerytalne i rentowe.";"Dz.U. 1998 r. Nr 161 poz. 1106Rozporządzenie Ministra Pracy i Polityki Socjalnej z dnia 18 grudnia 1998 r. w sprawie szczegółowych zasad ustalania podstawy wymiaru składek na ubezpieczenia emerytalne i rentowe,";"P 16/09
Data wydania:2010-02-16
Dz.U. 2010 r. Nr 31 poz. 167
Data ogłoszenia:2010-03-03";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-13-10
AKTY WYKONUJĄCE
Dz.U. 2010 r. Nr 127 poz. 860"
2010-02-11;2010-02-22;2010-08-01;"Minister Obrony Narodowej";"niezgodny";"Wykonane";"Zasady podwyższania emerytur wojskowych";"Dz.U. 2004 r. Nr 8 poz. 66Ustawa z dnia 10 grudnia 1993 r. o zaopatrzeniu emerytalnym żołnierzy zawodowych oraz ich rodzin";"K 15/09
Data wydania:2010-02-11
Dz.U. 2010 r. Nr 27 poz. 141
Data ogłoszenia:2010-02-22";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-14_10
AKTY WYKONUJĄCE
Dz.U. 2010 r. Nr 167 poz. 1130"
2010-02-09;2010-02-15;2011-06-01;"Minister Infrastruktury i Rozwoju";"niezgodny";"Wykonane";"Zasady wyceny nieruchomości";"Dz.U. 2003 r. Nr 80 poz. 717Ustawa z dnia 27 marca 2003 r. o planowaniu i zagospodarowaniu przestrzennym";"P 58/08
Data wydania:2010-02-09
Dz.U. 2010 r. Nr 24 poz. 124
Data ogłoszenia:2010-02-15";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-10_10
AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 153 poz. 901"
2010-02-09;2010-02-15;NA;"Minister Sprawiedliwości";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Brak prawa do zaskarżenia postanowienia w przedmiocie kosztów procesu zasądzonych po raz pierwszy przez sąd drugiej instancji";"Dz.U. 2005 r. Nr 13 poz. 98Ustawa z dnia 22 grudnia 2004 r. o zmianie ustawy - Kodeks postępowania cywilnego oraz ustawy - Prawo o ustroju sądów powszechnych";"SK 10/09
Data wydania:2010-02-09
Dz.U. 2010 r. Nr 24 poz. 125
Data ogłoszenia:2010-02-15";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-11-10"
2010-01-26;2010-02-08;2011-07-01;"Minister Infrastruktury i Rozwoju";"niezgodny";"Wykonane";"Przekształcenie prawa użytkowania wieczystego w prawo własności";"Dz.U. 2007 r. Nr 191 poz. 1371Ustawa z dnia 7 września 2007 r. o zmianie ustawy o przekształceniu prawa uzytkownia wieczystego w prawo własności nieruchomości oraz niekórych innych ustaw";"K 9/08
Data wydania:2010-01-26
Dz.U. 2010 r. Nr 21 poz. 109
Data ogłoszenia:2010-02-08";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-18-10
AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 187 poz. 1110"
2009-12-16;2009-12-23;2011-03-01;"Minister Pracy i Polityki Społecznej";"niezgodny";"Wykonane";"Ustawowa definicja deportacji";"Dz.U. 1996 r. Nr 87 poz. 395Ustawa z dnia 31 maja 1996 r. o świadczeniu pieniężnym przysługującym osobom deportowanym do pracy przymusowej oraz osadzonym w obozach pracy przez III Rzeszę i Związek Socjalistycznych Republik Radzieckich";"K 49/07
Data wydania:2009-12-16
Dz.U. 2009 r. Nr 220 poz. 1734
Data ogłoszenia:2009-12-23";"[Pokaż szczegóły]

AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 72 poz. 380"
