;;;;;;;;prestiz;prestiz;prestiz;prestiz;innowacyjnosc;innowacyjnosc;innowacyjnosc;potencjal naukowy;potencjal naukowy;potencjal naukowy;potencjal naukowy;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie
Miasto;Typ Uczelni;Reszta Nazwy;ranking 2011;ranking 2010;ranking 2009;ranking 2008;suma punktow;preferencje pracodawcow;ocena kadry akademickiej;uznanie miedzynarodowe;wybor olimpijczykow;patenty i inne;srodki z UE;zaplecze innowacyjne;ocena parametryczna;uprawnienia do nawadania stopni naukowych;nasycenie kadry profesorami;akredytacje;rozwoj kadry wlasnej;nadane stopnie naukowe;pozyskiwanie srodkow zewnetrznych na badania;publikacje;cytowania;h-index;udzial uczelni w PR;studia doktoranckie;dostepnosc kadr dla studentow;zbiory elektroniczne;zbiory drukowane;korzystanie z biblioteki;dostepnosc dla studentow zamiejscowych;osiagniecia sportowe;studia w j obcym;studiujacy w j obcym;wymiana studencka wyjazdy;wymiana studencka przyjazdy;wielokulturowosc;nauczyciele z zagranicy;wyklady w j obcych
Krakow;Politechnika;Krakowska;36;30;35;39;37.69;33.8;7.41;0;9.95;16.8;25.24;40.4;71.43;24.56;35.74;14.29;19.53;12.43;7.9;29.77;21.33;29.79;19.3;11.43;36.87;17.83;14.69;71.11;19.56;68.33;3.85;3.59;41.87;34.57;4.68;12.02;41.93
Poznan;Uniwersytet Przyrodniczy;w Poznaniu;37;33;40;32;35.48;5.47;17.28;0;11.67;4.45;13.46;32.61;72.5;24.56;55.46;3.57;27.37;25.53;11.2;44.4;23.54;36.17;8.77;14.22;53.54;19.3;12.05;54.81;36.39;45.11;3.85;1.68;12.25;3.39;1.79;9.4;4.33
Krakow;Uniwersytet Ekonomiczny;w Krakowie;38;41;37;40;35.12;22.22;8.77;0;8.48;1.21;14.1;15.04;90;17.54;31.34;3.57;30.8;29.28;3.01;2.66;13.78;8.51;0;10.19;17.61;42.93;18.19;70.82;11.24;71.27;19.23;17.77;38.7;18.01;6.4;7.9;1.97
Krakow;Uniwersytet Katolicki;Papieski Jana Pawla II w Krakowie;39;38;33;15;34.99;9.01;2.17;0;0;0;9.17;0;80;9.94;75.86;10.71;44.04;65.82;2.29;0.17;0;0;0;100;46.91;3.82;28.23;100;0;0;0;0;12.31;1.64;8.63;10.09;0.79
Krakow;Uniwersytet Rolniczy;w Krakowie;40;39;41;33;34.89;1.17;11.83;0;10.55;1.42;6.26;18.66;74.29;21.64;53.88;0;46.81;27.51;18.33;41.38;20.07;29.79;3.51;14.45;42.16;21.89;16.11;51.42;25.59;11.27;3.85;1.91;29.39;5.03;1.04;15.03;4.92
Warszawa;Uniwersytet;Kardynala Stefana Wyszynskiego w Warszawie;41;37;29;36;33.54;9.41;5.15;0;3.83;0;0.23;0;80;23.39;69.87;3.57;36.99;49.22;1.57;14.83;18.97;19.15;0;37.64;29.02;50.78;37.08;50.83;0.39;1.07;0;0;15.75;2.88;7.77;13.46;12.99
Krakow;Uniwersytet Pedagogiczny;im Komisji Edukacji Narodowej w Krakowie;42;46;52;48;32.92;1.51;3.24;0;1.03;0;17.53;30.07;60;18.71;47.09;0;41.16;23.47;1.43;20.35;100;53.19;0;10.05;29.04;15.2;16.02;63.05;13.79;34.11;0;0;29.66;13.36;1.08;21.43;3.94
Szczecin;Uniwersytet;Szczecinski;43;53;50;44;32.67;7.47;3.02;0;3.15;0;49.02;28.62;75.56;28.07;45.52;0;18.49;15.59;6.78;17.22;16.25;19.15;5.26;14.8;26.5;15.82;18.65;75.56;16.14;65.46;57.69;3.13;18.69;5.44;1.49;54.32;12.99
Katowice;Uniwersytet Ekonomiczny;w Katowicach;44;40;36;43;32.64;27.62;2.51;0;2.03;0;8.79;25.72;90;14.04;39.46;3.57;27.6;14.8;15.15;3.01;13.39;6.38;5.26;12.41;16.71;11.16;20.83;28.37;5.73;70.36;23.08;18.84;31.08;14.39;2.83;7.11;14.57
Czestochowa;Politechnika;Czestochowska;45;49;60;51;32.28;11.16;4.17;0;0;10.53;13.06;55.43;66.67;21.05;36.21;0;42.81;28.6;11.93;38.26;13.11;25.53;1.75;23.48;38.09;9.65;9.27;51.22;29.37;15.5;15.38;1.75;3.41;0.96;0.48;18.39;2.56
