data	objekt	sm	google	sondaz
2015-09-13	nowoczesna.petru	4084	5	0,05
2015-09-14	nowoczesna.petru	3407	5	0,05
2015-09-15	nowoczesna.petru	8173	6	0,06
2015-09-16	nowoczesna.petru	6060	7	0,06
2015-09-17	nowoczesna.petru	6849	6	0,06
2015-09-18	nowoczesna.petru	6361	6	0,06
2015-09-19	nowoczesna.petru	8895	8	0,06
2015-09-20	nowoczesna.petru	7197	6	0,06
2015-09-21	nowoczesna.petru	9763	7	0,06
2015-09-22	nowoczesna.petru	8797	6	0,07
2015-09-23	nowoczesna.petru	6465	7	0,06
2015-09-24	nowoczesna.petru	6170	6	0,06
2015-09-25	nowoczesna.petru	7473	5	0,06
2015-09-26	nowoczesna.petru	6014	7	0,06
2015-09-27	nowoczesna.petru	8042	8	0,07
2015-09-28	nowoczesna.petru	7494	8	0,07
2015-09-29	nowoczesna.petru	8073	6	0,07
2015-09-30	nowoczesna.petru	8151	6	0,07
2015-10-01	nowoczesna.petru	8696	7	0,07
2015-10-02	nowoczesna.petru	7891	7	0,07
2015-10-03	nowoczesna.petru	6695	7	0,07
2015-10-04	nowoczesna.petru	7644	7	0,07
2015-10-05	nowoczesna.petru	10365	8	0,07
2015-10-06	nowoczesna.petru	11406	9	0,08
2015-10-07	nowoczesna.petru	10666	8	0,07
2015-10-08	nowoczesna.petru	10545	9	0,06
2015-10-09	nowoczesna.petru	9401	7	0,06
2015-10-10	nowoczesna.petru	9056	9	0,07
2015-10-11	nowoczesna.petru	15046	10	0,07
2015-10-12	nowoczesna.petru	14838	9	0,08
2015-10-13	nowoczesna.petru	16867	9	0,08
2015-10-14	nowoczesna.petru	40760	12	0,05
2015-10-15	nowoczesna.petru	24829	10	0,06
2015-10-16	nowoczesna.petru	19658	12	0,07
2015-10-17	nowoczesna.petru	21171	13	0,07
2015-10-18	nowoczesna.petru	16134	14	0,06
2015-10-19	nowoczesna.petru	19367	18	0,06
2015-10-20	nowoczesna.petru	26976	24	0,06
2015-10-21	nowoczesna.petru	22098	25	0,06
2015-10-22	nowoczesna.petru	16498	25	0,07
2015-10-23	nowoczesna.petru	23977	40	0,08
2015-10-24	nowoczesna.petru	4021	38	
2015-10-25	nowoczesna.petru	20421	100	
2015-08-01	po	42781	24	
2015-08-02	po	37879	17	
2015-08-03	po	54838	27	
2015-08-04	po	58899	27	0,23
2015-08-05	po	77542	31	0,24
2015-08-06	po	73910	26	0,25
2015-08-07	po	67313	26	0,26
2015-08-08	po	45801	32	0,26
2015-08-09	po	44687	20	0,27
2015-08-10	po	58728	31	0,28
2015-08-11	po	63923	28	0,27
2015-08-12	po	61949	26	0,26
2015-08-13	po	63879	25	0,27
2015-08-14	po	52404	22	0,28
2015-08-15	po	37251	16	0,24
2015-08-16	po	32743	21	0,23
2015-08-17	po	53658	27	0,22
2015-08-18	po	54682	30	0,21
2015-08-19	po	53743	28	0,2
2015-08-20	po	54820	31	0,19
2015-08-21	po	73862	31	0,21
2015-08-22	po	46637	19	0,23
2015-08-23	po	41429	23	0,25
2015-08-24	po	58467	31	0,27
2015-08-25	po	66276	25	0,27
2015-08-26	po	62445	32	0,26
2015-08-27	po	64115	32	0,26
2015-08-28	po	58427	30	0,19
2015-08-29	po	44073	20	0,2
2015-08-30	po	39262	19	0,2
2015-08-31	po	69714	31	0,21
2015-09-01	po	91660	30	0,21
2015-09-02	po	76563	41	0,22
2015-09-03	po	81330	46	0,22
2015-09-04	po	85583	37	0,23
2015-09-05	po	55017	23	0,23
2015-09-06	po	46081	25	0,25
2015-09-07	po	70061	41	0,27
2015-09-08	po	59176	39	0,25
2015-09-09	po	74458	36	0,23
2015-09-10	po	68510	39	0,24
2015-09-11	po	74002	32	0,24
2015-09-12	po	63548	33	0,24
2015-09-13	po	54930	29	0,23
2015-09-14	po	59057	47	0,23
2015-09-15	po	79709	39	0,22
2015-09-16	po	70836	40	0,22
2015-09-17	po	74350	39	0,22
2015-09-18	po	63008	36	0,22
2015-09-19	po	58576	25	0,22
2015-09-20	po	52527	24	0,22
2015-09-21	po	69704	41	0,26
2015-09-22	po	84581	39	0,26
2015-09-23	po	95229	36	0,3
2015-09-24	po	82163	38	0,27
2015-09-25	po	80853	38	0,27
2015-09-26	po	66569	25	0,26
2015-09-27	po	53422	26	0,26
2015-09-28	po	55977	38	0,25
2015-09-29	po	65898	43	0,25
2015-09-30	po	68225	40	0,24
2015-10-01	po	73691	41	0,23
2015-10-02	po	72274	39	0,24
2015-10-03	po	58076	22	0,25
2015-10-04	po	46619	27	0,25
2015-10-05	po	66019	46	0,26
2015-10-06	po	64963	53	0,25
2015-10-07	po	71141	46	0,25
2015-10-08	po	68939	43	0,24
2015-10-09	po	68557	41	0,23
2015-10-10	po	53987	34	0,22
2015-10-11	po	54729	37	0,22
2015-10-12	po	81163	44	0,21
2015-10-13	po	93006	56	0,2
2015-10-14	po	158870	47	0,27
2015-10-15	po	122118	54	0,24
2015-10-16	po	114715	50	0,23
2015-10-17	po	123639	36	0,23
2015-10-18	po	128242	42	0,23
2015-10-19	po	128020	67	0,23
2015-10-20	po	107176	68	0,26
2015-10-21	po	101240	63	0,24
2015-10-22	po	94304	74	0,22
2015-10-23	po	109141	82	0,22
2015-10-24	po	38154	59	
2015-10-25	po	77091	100	
2015-08-01	zlew	2856	0	
2015-08-02	zlew	2558	0	
2015-08-03	zlew	3349	0	
2015-08-04	zlew	3920	0	0,07
2015-08-05	zlew	4389	0	0,07
2015-08-06	zlew	7105	0	0,08
2015-08-07	zlew	5384	0	0,08
2015-08-08	zlew	5060	0	0,08
2015-08-09	zlew	5772	0	0,09
2015-08-10	zlew	6295	0	0,09
2015-08-11	zlew	5929	0	0,07
2015-08-12	zlew	4196	0	0,04
2015-08-13	zlew	5067	0	0,05
2015-08-14	zlew	4063	0	0,06
2015-08-15	zlew	2829	0	0,08
2015-08-16	zlew	3188	0	0,08
2015-08-17	zlew	5516	0	0,09
2015-08-18	zlew	6149	0	0,09
2015-08-19	zlew	5522	0	0,1
2015-08-20	zlew	5055	0	0,1
2015-08-21	zlew	5557	0	0,1
2015-08-22	zlew	3919	0	0,09
2015-08-23	zlew	5299	0	0,08
2015-08-24	zlew	6139	0	0,08
2015-08-25	zlew	6343	0	0,08
2015-08-26	zlew	5503	0	0,08
2015-08-27	zlew	6141	0	0,08
2015-08-28	zlew	6016	0	0,08
2015-08-29	zlew	4823	0	0,08
2015-08-30	zlew	3480	0	0,08
2015-08-31	zlew	6049	0	0,08
2015-09-01	zlew	6316	0	0,08
2015-09-02	zlew	8088	0	0,08
2015-09-03	zlew	7219	0	0,08
2015-09-04	zlew	7399	0	0,08
2015-09-05	zlew	5387	0	0,08
2015-09-06	zlew	2854	0	0,1
2015-09-07	zlew	5372	0	0,06
2015-09-08	zlew	6657	5	0,05
2015-09-09	zlew	6898	5	0,03
2015-09-10	zlew	7051	6	0,05
2015-09-11	zlew	8737	6	0,06
2015-09-12	zlew	5875	7	0,07
2015-09-13	zlew	7507	7	0,07
2015-09-14	zlew	7148	5	0,08
2015-09-15	zlew	8276	6	0,08
2015-09-16	zlew	7007	6	0,09
2015-09-17	zlew	7819	5	0,09
2015-09-18	zlew	4378	5	0,08
2015-09-19	zlew	4207	5	0,08
2015-09-20	zlew	3847	5	0,08
2015-09-21	zlew	6798	5	0,08
2015-09-22	zlew	5583	5	0,08
2015-09-23	zlew	5899	5	0,05
2015-09-24	zlew	6268	6	0,06
2015-09-25	zlew	10761	6	0,06
2015-09-26	zlew	6157	4	0,06
2015-09-27	zlew	6237	4	0,07
2015-09-28	zlew	6548	4	0,07
2015-09-29	zlew	11204	5	0,07
2015-09-30	zlew	7986	6	0,09
2015-10-01	zlew	6881	7	0,11
2015-10-02	zlew	7133	7	0,11
2015-10-03	zlew	5930	6	0,1
2015-10-04	zlew	10171	11	0,09
2015-10-05	zlew	10232	10	0,09
2015-10-06	zlew	8241	10	0,08
2015-10-07	zlew	9463	10	0,08
2015-10-08	zlew	7888	8	0,08
2015-10-09	zlew	8031	9	0,09
2015-10-10	zlew	7774	9	0,09
2015-10-11	zlew	6417	7	0,1
2015-10-12	zlew	8045	6	0,1
2015-10-13	zlew	12626	9	0,11
2015-10-14	zlew	33356	9	0,08
2015-10-15	zlew	25952	12	0,08
2015-10-16	zlew	19917	13	0,11
2015-10-17	zlew	29747	15	0,11
2015-10-18	zlew	29918	14	0,1
2015-10-19	zlew	17914	21	0,1
2015-10-20	zlew	21341	31	0,08
2015-10-21	zlew	21863	24	0,08
2015-10-22	zlew	17500	30	0,08
2015-10-23	zlew	21311	47	0,09
2015-10-24	zlew	4216	33	
2015-10-25	zlew	18922	100	
2015-08-01	korwin	5		
2015-08-02	korwin	4		
2015-08-03	korwin	4		
2015-08-04	korwin	5		
2015-08-05	korwin	4		0,01
2015-08-06	korwin	5		0,01
2015-08-07	korwin	5		0,02
2015-08-08	korwin	5		0,02
2015-08-09	korwin	5		0,03
2015-08-10	korwin	4		0,03
2015-08-11	korwin	4		0,02
2015-08-12	korwin	4		0,01
2015-08-13	korwin	4		0,02
2015-08-14	korwin	9		0,02
2015-08-15	korwin	6		0,03
2015-08-16	korwin	5		0,03
2015-08-17	korwin	5		0,03
2015-08-18	korwin	5		0,02
2015-08-19	korwin	4		0,02
2015-08-20	korwin	6		0,02
2015-08-21	korwin	4		0,02
2015-08-22	korwin	5		0,02
2015-08-23	korwin	5		0,03
2015-08-24	korwin	5		0,03
2015-08-25	korwin	5		0,03
2015-08-26	korwin	5		0,02
